U+1F3EB	school
U+1F3EC	department_store
U+1F3ED	factory
U+1F3EE	red_paper_lantern
U+1F3EF	japanese_castle
U+1F3F0	castle
U+1F3F3	white_flag
U+1F3F4	black_flag
U+1F3F5	rosette
U+1F3F7	label
U+1F3F8	badminton
U+1F3F9	bow_and_arrow
U+1F3FA	amphora
U+1F400	rat
U+1F401	mouse
U+1F402	ox
U+1F403	water_buffalo
U+1F404	cow
U+1F405	tiger
U+1F406	leopard
U+1F409	dragon
U+1F40A	crocodile
U+1F40B	whale
U+1F40C	snail
U+1F40D	snake
U+1F40E	horse
U+1F40F	ram
U+1F410	goat
U+1F411	ewe
U+1F412	monkey
U+1F413	rooster
U+1F414	chicken
U+1F415	dog
U+1F416	pig
U+1F417	boar
U+1F418	elephant
U+1F419	octopus
U+1F41A	spiral_shell
U+1F41B	bug
U+1F41C	ant
U+1F41D	honeybee
U+1F41E	lady_beetle
U+1F41F	fish
U+1F420	tropical_fish
U+1F421	blowfish
U+1F422	turtle
U+1F423	hatching_chick
U+1F424	baby_chick
U+1F425	front_facing_baby_chick
U+1F426	bird
U+1F427	penguin
U+1F428	koala
U+1F429	poodle
U+1F42A	camel
U+1F42B	two_hump_camel
U+1F42C	dolphin
U+1F42D	mouse_face
U+1F42E	cow_face
U+1F42F	tiger_face
U+1F432	dragon_face
U+1F433	spouting_whale
U+1F434	horse_face
U+1F435	monkey_face
U+1F436	dog_face
U+1F437	pig_face
U+1F438	frog
U+1F439	hamster
U+1F43A	wolf
U+1F43B	bear
U+1F43C	panda
U+1F43D	pig_nose
U+1F43E	paw_prints
U+1F43F	chipmunk
U+1F440	eyes
U+1F441	eye
U+1F442	ear
U+1F443	nose
U+1F444	mouth
U+1F445	tongue
U+1F446	backhand_index_pointing_up
U+1F447	backhand_index_pointing_down
U+1F448	backhand_index_pointing_left
U+1F449	backhand_index_pointing_right
U+1F44A	oncoming_fist
U+1F44B	waving_hand
U+1F44C	ok_hand
U+1F44D	thumbs_up
U+1F44E	thumbs_down
U+1F44F	clapping_hands
U+1F450	open_hands
U+1F451	crown
U+1F452	womans_hat
U+1F453	glasses
U+1F454	necktie
U+1F455	t_shirt
U+1F456	jeans
U+1F457	dress
U+1F458	kimono
U+1F459	bikini
U+1F45A	womans_clothes
U+1F45B	purse
U+1F45C	handbag
U+1F45D	clutch_bag
U+1F45E	mans_shoe
U+1F45F	running_shoe
U+1F460	high_heeled_shoe
U+1F461	womans_sandal
U+1F462	womans_boot
U+1F463	footprints
U+1F464	bust_in_silhouette
U+1F465	busts_in_silhouette
U+1F466	boy
U+1F467	girl
U+1F468	man
U+1F469	woman
U+1F46A	family
U+1F46B	woman_and_man_holding_hands
U+1F46C	men_holding_hands
U+1F46D	women_holding_hands
U+1F46E	police_officer
U+1F46F	people_with_bunny_ears
U+1F470	person_with_veil
U+1F471	person_blond_hair
U+1F472	person_with_skullcap
U+1F473	person_wearing_turban
U+1F474	old_man
U+1F475	old_woman
U+1F476	baby
U+1F477	construction_worker
U+1F478	princess
U+1F479	ogre
U+1F47A	goblin
U+1F47B	ghost
U+1F47C	baby_angel
U+1F47D	alien
U+1F47E	alien_monster
U+1F47F	angry_face_with_horns
U+1F480	skull
U+1F481	person_tipping_hand
U+1F482	guard
U+1F483	woman_dancing
U+1F484	lipstick
U+1F485	nail_polish
U+1F486	person_getting_massage
U+1F487	person_getting_haircut
U+1F488	barber_pole
U+1F489	syringe
U+1F48A	pill
U+1F48B	kiss_mark
U+1F48C	love_letter
U+1F48D	ring
U+1F48E	gem_stone
U+1F48F	kiss
U+1F491	couple_with_heart
U+1F492	wedding
U+1F493	beating_heart
U+1F494	broken_heart
U+1F495	two_hearts
U+1F498	heart_with_arrow
U+1F49D	heart_with_ribbon
U+1F49E	revolving_hearts
U+1F49F	heart_decoration
U+1F4A0	diamond_with_a_dot
U+1F4A1	light_bulb
U+1F4A2	anger_symbol
U+1F4A3	bomb
U+1F4A4	zzz
U+1F4A5	collision
U+1F4A6	sweat_droplets
U+1F4A8	dashing_away
U+1F4A9	pile_of_poo
U+1F4AA	flexed_biceps
U+1F4AC	speech_balloon
U+1F4AD	thought_balloon
U+1F4AE	white_flower
U+1F4AF	hundred_points
U+1F4B0	money_bag
U+1F4B1	currency_exchange
U+1F4B2	heavy_dollar_sign
U+1F4B3	credit_card
U+1F4B4	yen_banknote
U+1F4B5	dollar_banknote
U+1F4B6	euro_banknote
U+1F4B7	pound_banknote
U+1F4B8	money_with_wings
U+1F4B9	chart_increasing_with_yen
U+1F4BA	seat
U+1F4BB	laptop
U+1F4BC	briefcase
U+1F4BD	computer_disk
U+1F4BE	floppy_disk
U+1F4BF	optical_disk
U+1F4C0	dvd
U+1F4C1	file_folder
U+1F4C2	open_file_folder
U+1F4C3	page_with_curl
U+1F4C4	page_facing_up
U+1F4C5	calendar
U+1F4C6	tear_off_calendar
U+1F4C7	card_index
U+1F4C8	chart_increasing
U+1F4C9	chart_decreasing
U+1F4CA	bar_chart
U+1F4CB	clipboard
U+1F4CC	pushpin
U+1F4CD	round_pushpin
U+1F4CE	paperclip
U+1F4CF	straight_ruler
U+1F4D0	triangular_ruler
U+1F4D1	bookmark_tabs
U+1F4D2	ledger
U+1F4D3	notebook
U+1F4D4	notebook_with_decorative_cover
U+1F4D5	closed_book
U+1F4D6	open_book
U+1F4D7	green_book
U+1F4D8	blue_book
U+1F4D9	orange_book
U+1F4DA	books
U+1F4DB	name_badge
U+1F4DC	scroll
U+1F4DD	memo
U+1F4DE	telephone_receiver
U+1F4DF	pager
U+1F4E0	fax_machine
U+1F4E1	satellite_antenna
U+1F4E2	loudspeaker
U+1F4E3	megaphone
U+1F4E4	outbox_tray
U+1F4E5	inbox_tray
U+1F4E6	package
U+1F4E8	incoming_envelope
U+1F4EA	closed_mailbox_with_lowered_flag
U+1F4EB	closed_mailbox_with_raised_flag
U+1F4EC	open_mailbox_with_raised_flag
U+1F4ED	open_mailbox_with_lowered_flag
U+1F4EE	postbox
U+1F4EF	postal_horn
U+1F4F0	newspaper
U+1F4F1	mobile_phone
U+1F4F2	mobile_phone_with_arrow
U+1F4F3	vibration_mode
U+1F4F4	mobile_phone_off
U+1F4F5	no_mobile_phones
U+1F4F6	antenna_bars
U+1F4F7	camera
U+1F4F8	camera_with_flash
U+1F4F9	video_camera
U+1F4FA	television
U+1F4FB	radio
U+1F4FC	videocassette
U+1F4FD	film_projector
U+1F4FF	prayer_beads
U+1F500	shuffle_tracks_button
U+1F501	repeat_button
U+1F502	repeat_single_button
U+1F503	clockwise_vertical_arrows
U+1F504	counterclockwise_arrows_button
U+1F505	dim_button
U+1F506	bright_button
U+1F507	muted_speaker
U+1F508	speaker_low_volume
U+1F509	speaker_medium_volume
U+1F50A	speaker_high_volume
U+1F50B	battery
U+1F50C	electric_plug
U+1F50D	magnifying_glass_tilted_left
U+1F50E	magnifying_glass_tilted_right
U+1F50F	locked_with_pen
U+1F510	locked_with_key
U+1F511	key
U+1F512	locked
U+1F513	unlocked
U+1F514	bell
U+1F515	bell_with_slash
U+1F516	bookmark
U+1F517	link
U+1F518	radio_button
U+1F519	back_arrow
U+1F51A	end_arrow
U+1F51B	on_arrow
U+1F51C	soon_arrow
U+1F51D	top_arrow
U+1F51E	no_one_under_eighteen
U+1F520	input_latin_uppercase
U+1F521	input_latin_lowercase
U+1F522	input_numbers
U+1F523	input_symbols
U+1F524	input_latin_letters
U+1F526	flashlight
U+1F527	wrench
U+1F528	hammer
U+1F529	nut_and_bolt
U+1F52A	kitchen_knife
U+1F52B	water_pistol
U+1F52C	microscope
U+1F52D	telescope
U+1F52E	crystal_ball
U+1F52F	dotted_six_pointed_star
